"","Group.1","K1","K2","K3","K4","K5","K6","K7","K8","x"
"73","Spain_3",1e-05,0.152883,1e-05,1e-05,1e-05,0.012586,1e-05,0.834481,1
"74","Spain_4",0.005323,0.8125505,1e-05,1e-05,1e-05,1e-05,1e-05,0.1820765,2
"75","Spain_5",1e-05,0.0684805,1e-05,1e-05,1e-05,1e-05,1e-05,0.9314595,2
"76","Spain_6",1e-05,0.996521,1e-05,1e-05,1e-05,1e-05,1e-05,0.003419,7
"77","Spain_7",1e-05,0.4262955,1e-05,1e-05,1e-05,1e-05,1e-05,0.5736445,2
"78","Spain_8",1.05833333333333e-05,1.00833333333333e-05,1e-05,1e-05,1e-05,1e-05,1e-05,0.999929333333333,12
"79","Syria_1",1e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,0.999929,1e-05,2
"80","Syria_2",1e-05,1e-05,1e-05,1e-05,0.076295,1e-05,0.923645,1e-05,1
"81","Tunisia_1",1e-05,0.254006,0.745934,1e-05,1e-05,1e-05,1e-05,1e-05,1
"82","Tunisia_2",1e-05,1e-05,0.157681666666667,0.0433736666666667,0.778521,1e-05,0.0203836666666667,1e-05,3
"83","Tunisia_3",1e-05,1e-05,1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,9
"84","Tunisia_4",1e-05,1e-05,0.0519376666666667,0.924626333333333,0.0178278333333333,1e-05,0.005568,1e-05,6
"85","Tunisia_5",1e-05,1e-05,0.622929,0.206443,0.08101,1e-05,0.089578,1e-05,1
"86","Tunisia_6",1e-05,1e-05,1e-05,0.026715,0.340984,1e-05,0.632252,1e-05,1
"87","Tunisia_7",1e-05,1e-05,0.001362,0.9965241,0.0020637,1e-05,1.02e-05,1e-05,20
"88","Tunisia_8",1e-05,1e-05,0.0992993333333333,0.796824333333333,0.103826666666667,1e-05,1e-05,1e-05,3
"89","Tunisia_9",1e-05,1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,11
"90","Turkey_0",1e-05,1e-05,0.051407,1e-05,0.505953,0.0359835,0.406617,1e-05,2
"91","Unknown-Cultivar_1",1e-05,1e-05,1e-05,0.019773,0.32636,1e-05,0.653817,1e-05,1
"92","Unknown-Cultivar_2",1e-05,0.0178255,1e-05,0.0311065,1e-05,1e-05,0.951018,1e-05,2
"93","Unknown-Cultivar_3",1e-05,1e-05,0.098301,0.897759,0.003891,1e-05,1e-05,1e-05,1
"94","Unknown-Reference_0",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1
"95","unknown_1",0.021425,1e-05,1e-05,0.102996,1e-05,0.00960566666666667,0.861724,0.00421933333333333,3
"96","unknown_2",1e-05,0.99993,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1
