ID,Pop,Country,Lat,Long,Elev,MajorComponent,K1,K2,K3,K4,K5,K6,K7,K8
HM129,F20069-A,"France,Corsica",42.592,8.908,446.291,K8.6,0.100408,0.041078,0.00001,0.00001,0.00001,0.858464,0.00001,0.00001
HM130,F20069-C,"France,Corsica",42.592,8.908,446.291,K8.6,0.084341,0.1514,0.00001,0.00001,0.00001,0.764209,0.00001,0.00001
HM033,F20047-A,"France,Corsica",42.582,9.06,654.007,K8.6,0.00001,0.00001,0.00001,0.023604,0.00001,0.976336,0.00001,0.00001
HM128,F20058-6,"France,Corsica",41.405,9.127,113.12,K8.6,0.00001,0.046285,0.00001,0.010159,0.00001,0.8933,0.050216,0.00001
HM184,F20058-B,"France,Corsica",41.405,9.127,113.12,K8.6,0.056047,0.049812,0.013714,0.068109,0.00001,0.743815,0.068483,0.00001
HM096,F20026-F,"France,Corsica",42.924,9.357,37.646,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM034,F20089-B,"France,Corsica",42.971,9.367,327.13,K8.6,0.023015,0.00001,0.00001,0.00001,0.00001,0.813702,0.163233,0.00001
HM060,F20015-10,"France,Corsica",42.084,9.369,105.238,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM126,F20015-L,"France,Corsica",42.084,9.369,105.238,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM183,F20015-8,"France,Corsica",42.084,9.369,105.238,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM095,F20025-4,"France,Corsica",42.756,9.451,96.393,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM127,F20025-F,"France,Corsica",42.756,9.451,96.393,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM253,PI660496SSD,"France,Corsica",42.08333333,9.5,12.698,K8.4,0.00001,0.00001,0.095768,0.833669,0.070513,0.00001,0.00001,0.00001
HM185,F20081-A,"France,Corsica",42.401,9.504,195.039,K8.6,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001,0.00001
HM288,PI577611SSD,Germany,51.186435,10.464765,202.384,K8.8,0.00001,0.354338,0.00001,0.00001,0.00001,0.00001,0.00001,0.645602
HM009,GRC020-B,Greece,38.122,21.543,43.498,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM186,GRC024-H,Greece,37.723,21.874,220.541,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM133,GRC098-A,Greece,38.203,22.138,64.503,K8.7,0.012834,0.00001,0.00001,0.00001,0.00001,0.00001,0.987106,0.00001
HM061,GRC033-B2,Greece,36.915,22.5,310.407,K8.7,0.00001,0.00001,0.00001,0.00001,0.00001,0.00001,0.99993,0.00001
HM187,GRC033-C,Greece,36.915,22.5,310.407,K8.7,0.00001,0.00001,0.00001,0.00001,0.011902,0.00001,0.988038,0.00001
